company_name,service_category,service_subcategory,website,website_final_url,website_status,website_http_status,domain,domain_has_dns,domain_has_mx,email,email_source_url,email_is_public,email_is_role_based,email_syntax_valid,email_domain_matches_website,email_domain_has_mx,email_verification_status,phone,phone_e164,phone_valid,street_address,city,state,postal_code,country,source_name,source_url,source_record_id,date_collected,date_verified,robots_allowed,confidence_score,notes
Huntingburg Machine Works,hvac,,https://www.huntingburgmachineworks.com/,https://www.huntingburgmachineworks.com/,active,200.0,huntingburgmachineworks.com,True,True,user@domain.com,https://www.huntingburgmachineworks.com/,True,False,True,False,True,public_business_address_verified_domain,(559) 396-6100,+15593966100,True,309 N Main Street,Huntingburg,IN,47542,US,openstreetmap_overpass,https://www.openstreetmap.org/node/12000016058,osm_node_12000016058,2026-08-04 18:37:48.674604,2026-08-04 18:53:11.729073,True,83,
Ideal Consolidated,hvac,,https://www.idealconsolidated.com/,https://www.idealconsolidated.com/,blocked_by_robots,403.0,idealconsolidated.com,True,True,,,,,,,,,,,,1125 South Walnut Street,South Bend,IN,46619,US,openstreetmap_overpass,https://www.openstreetmap.org/node/12080267634,osm_node_12080267634,2026-08-04 18:37:48.674751,2026-08-04 18:53:12.677894,True,40,
​​Worlarskey's Air Conditioning - Heating - Electrical,hvac,,http://www.worlarskeys.com/home.html,https://worlarskeys.com/home.html,inaccessible,404.0,worlarskeys.com,True,True,filler@godaddy.com,https://worlarskeys.com/,True,False,True,False,True,public_business_address_verified_domain,(420) 643-7291,,False,234 West Main Street,Peru,IN,46970,US,openstreetmap_overpass,https://www.openstreetmap.org/node/12158750220,osm_node_12158750220,2026-08-04 18:37:48.674826,2026-08-04 18:53:13.876657,True,48,
Advantage Heating and Air Conditioning,hvac,,https://advantageheatingandair.com/,https://advantageheatingandair.com/,active,200.0,advantageheatingandair.com,True,True,,,,,,,,,(615) 560-6703,+16155606703,True,"2040 Cottage Avenue, Suite Ste A",Columbus,IN,47201,US,openstreetmap_overpass,https://www.openstreetmap.org/node/12350718343,osm_node_12350718343,2026-08-04 18:37:48.674912,2026-08-04 18:53:14.845330,True,75,
STAR Heating Cooling Plumbing,hvac,,https://starheatcool.com,https://starheatcool.com/,active,200.0,starheatcool.com,True,True,,,,,,,,,(463) 270-7633,+14632707633,True,14076 Britton Park Road,Fishers,IN,46038,US,openstreetmap_overpass,https://www.openstreetmap.org/node/12615550687,osm_node_12615550687,2026-08-04 18:37:48.674991,2026-08-04 18:53:15.789407,True,75,
"Complete Comfort Plumbing Repair & Heating, A/C",hvac,,https://completecomfortgo.com/,https://completecomfortgo.com/,active,200.0,completecomfortgo.com,True,True,,,,,,,,,(100) 000-0000,,False,"1729 US-31 Suite #D, Greenwood, IN 46143",Fishers,IN,11650,US,openstreetmap_overpass,https://www.openstreetmap.org/node/13089301679,osm_node_13089301679,2026-08-04 18:37:48.675065,2026-08-04 18:53:16.770965,True,60,
Public HVAC Solutions,hvac,,https://www.publichvacsolutions.com/,https://publichvacsolutions.com/,redirected,200.0,publichvacsolutions.com,True,True,info@publichvacsolutions.com,https://publichvacsolutions.com/,True,True,True,True,True,public_role_address_verified_domain,(167) 761-5922,,False,15348 South 70th Court,Orland Park,IN,60462,US,openstreetmap_overpass,https://www.openstreetmap.org/node/13351633196,osm_node_13351633196,2026-08-04 18:37:48.675140,2026-08-04 18:53:18.794146,True,75,
AR Engineering,hvac,,https://www.quickhvacsupply.com/,https://www.quickhvacsupply.com/,active,200.0,quickhvacsupply.com,True,True,13e49d785d8d4f828038b6136f3b48ba@sentry.io,https://www.quickhvacsupply.com/,True,False,True,False,True,public_business_address_verified_domain,(465) 711-3586,,False,3002 West Western Avenue,South Bend,IN,46619,US,openstreetmap_overpass,https://www.openstreetmap.org/node/13508129965,osm_node_13508129965,2026-08-04 18:37:48.675216,2026-08-04 18:53:20.421250,True,68,
Windy City HVAC Repair,hvac,,https://hvacchicago.com/,https://hvacchicago.com/,active,200.0,hvacchicago.com,True,True,office@hvacchicago.com,https://hvacchicago.com/,True,True,True,True,True,public_role_address_verified_domain,(178) 486-6788,,False,"400 North Schmidt Road, Suite 211",Bolingbrook,IN,60440,US,openstreetmap_overpass,https://www.openstreetmap.org/node/13573877429,osm_node_13573877429,2026-08-04 18:37:48.675290,2026-08-04 18:53:21.983033,True,85,
Hoppy Heating and Air,hvac,,https://hoppyair.com/,https://www.hoppyair.com/,redirected,200.0,hoppyair.com,True,True,,,,,,,,,(176) 527-5161,,False,"4620 N 9th St, Suite B, West",Lafayette,IN,47906,US,openstreetmap_overpass,https://www.openstreetmap.org/node/13737613466;https://www.openstreetmap.org/node/13741604565;https://www.openstreetmap.org/node/13774055412,osm_node_13774055412,2026-08-04 18:37:48.675506,2026-08-04 18:53:24.863470,True,50,Merged from 3 records
Wright's Heating and Air,hvac,,https://wrightsheatingandairllc.com/,https://www.wrightsheatingandairllc.com/,redirected,200.0,wrightsheatingandairllc.com,True,True,callfrankwrighthvac@gmail.com,https://www.wrightsheatingandairllc.com/,True,False,True,False,True,public_business_address_verified_domain,(100) 000-0999,,False,601 South Gilbert Street,Danville,IN,61832,US,openstreetmap_overpass,https://www.openstreetmap.org/node/13884537507;https://www.openstreetmap.org/way/474267951,osm_way_474267951,2026-08-04 18:37:48.675882,2026-08-04 18:53:28.276220,True,58,Merged from 2 records
Habegger Corporation,hvac,,https://www.habeggercorp.com/stores/details/44,https://www.habeggercorp.com/stores/details/44,active,200.0,habeggercorp.com,True,True,websupport@habeggercorp.com,https://www.habeggercorp.com/,True,False,True,True,True,public_business_address_verified_domain,(513) 612-4700,+15136124700,True,11413 Enterprise Park Drive,Sharonville,OH,45241,US,openstreetmap_overpass,https://www.openstreetmap.org/way/468781340,osm_way_468781340,2026-08-04 18:37:48.675810,2026-08-04 18:53:26.662782,True,93,
Schalburg,hvac,,http://schalburgheatingandcooling.com/,http://schalburgheatingandcooling.com/,active,200.0,schalburgheatingandcooling.com,True,True,,,,,,,,,(812) 877-4822,+18128774822,True,7350 E. State Road 42 Terre,Haute,IN,47803-9710,US,openstreetmap_overpass,https://www.openstreetmap.org/way/777611031,osm_way_777611031,2026-08-04 18:37:48.676088,2026-08-04 18:53:50.607393,True,75,
Flow-Tech Plumbing & Heating,hvac,,https://flowtechpandh.com/,https://flowtechpandh.com/,active,200.0,flowtechpandh.com,True,True,info@flowtechhomeservices.com,https://flowtechpandh.com/contact/,True,True,True,False,True,public_role_address_verified_domain,(038) 461-5385,,False,208 E. Chicago Street Columbia,City,IN,46725,US,openstreetmap_overpass,https://www.openstreetmap.org/way/927259593,osm_way_927259593,2026-08-04 18:37:48.676312,2026-08-04 18:53:51.637301,True,75,
Vital Heating & Air,hvac,,https://www.vitalheatingandair.com/,https://www.vitalheatingandair.com/,active,200.0,vitalheatingandair.com,True,True,service@vitalheatingandair.com,https://www.vitalheatingandair.com/,True,True,True,True,True,public_role_address_verified_domain,(119) 858-2050,,False,8913 Southeastern Ave,Indianapolis,IN,46239,US,openstreetmap_overpass,https://www.openstreetmap.org/way/961956436,osm_way_961956436,2026-08-04 18:37:48.676517,2026-08-04 18:53:52.952324,True,85,
